TABLE_NAME;PARSER_DATE;DATA_DATE;LOADER_DATE;LOADER_STATE;LOAD_DATE;LOADER_DATA_COUNT;LOADER_COUNT;HOURLY_STATE;SYSTEM_ID;DTYPE;DAILY_STATE;ORG_TABLE
CELLSTS_4G;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:32;2;07.12.2025 12:39;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:40;2;07.12.2025 12:40;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:40;2;07.12.2025 12:40;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:43;2;07.12.2025 12:50;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:39;2;07.12.2025 12:39;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:40;2;07.12.2025 12:40;0;1;1;21;7;0;CELLSTS_4G
CELLSTS_4G_ILCE;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:40;2;07.12.2025 12:40;0;1;1;21;10;0;CELLSTS_4G
CELLSTS_4G_MAHALLE;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:40;2;07.12.2025 12:41;0;1;1;21;11;0;CELLSTS_4G
CELLSTS_4G_MAIN_REGION;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:40;2;07.12.2025 12:40;0;1;1;21;4;0;CELLSTS_4G
CELLSTS_4G_NFBAND;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:41;2;07.12.2025 12:43;0;1;1;21;12;0;CELLSTS_4G
CELLSTS_4G_NW;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:39;2;07.12.2025 12:40;0;1;1;21;3;0;CELLSTS_4G
CELLSTS_4G_RBAND;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:40;2;07.12.2025 12:40;0;1;1;21;8;0;CELLSTS_4G
CELLSTS_4G_SRCITY;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:43;2;07.12.2025 12:43;0;1;1;21;13;0;CELLSTS_4G
CELLSTS_4G_SUB_REGION;07.12.2025 12:28;07.12.2025 11:00;07.12.2025 12:40;2;07.12.2025 12:40;0;1;1;21;5;0;CELLSTS_4G
CELLSTS_4G;07.12.2025 13:29;07.12.2025 12:00;07.12.2025 13:32;2;07.12.2025 13:39;0;1;1;21;1;0;CELLSTS_4G
CELLSTS_4G_CBAND;07.12.2025 13:29;07.12.2025 12:00;07.12.2025 13:41;2;07.12.2025 13:41;0;1;1;21;9;0;CELLSTS_4G
CELLSTS_4G_CITY;07.12.2025 13:29;07.12.2025 12:00;07.12.2025 13:41;2;07.12.2025 13:41;0;1;1;21;6;0;CELLSTS_4G
CELLSTS_4G_DFBAND;07.12.2025 13:29;07.12.2025 12:00;07.12.2025 13:45;2;07.12.2025 13:52;0;1;1;21;14;0;CELLSTS_4G
CELLSTS_4G_ENODEB;07.12.2025 13:29;07.12.2025 12:00;07.12.2025 13:39;2;07.12.2025 13:40;0;1;1;21;2;0;CELLSTS_4G
CELLSTS_4G_FBAND;07.12.2025 13:29;07.12.2025 12:00;07.12.2025 13:41;2;07.12.2025 13:41;0;1;1;21;7;0;CELLSTS_4G
