TABLE_NAME;LOCAL_FIELD;REMOTE_FIELD;DATA_TYPE;FIELD_LENGTH;ACTIVE;FIELD_DEFINITION;VENDOR_ID;UNIT;TYPE_AGGREGATE;DATE_AGGREGATE
CELLSTS_4G;INTERRAT_HOG_SR_DEN;C1526726993;NUMBER;12;1;L.IRATHO.E2G.ExecAttOut;6;%;SUM;SUM
CELLSTS_4G;RRC_SETUP_SR_NUM;C1526726659;NUMBER;12;1;L.RRC.ConnReq.Succ;6;%;SUM;SUM
CELLSTS_4G;RRC_SETUP_SR_DEN;C1526726657;NUMBER;12;1;L.RRC.ConnReq.Msg;6;%;SUM;SUM
CELLSTS_4G;CS_RAB_EST_SR_NUM;C1526726669;NUMBER;12;1;L.E-RAB.SuccEst.QCI.1;6;%;SUM;SUM
CELLSTS_4G;CS_RAB_EST_SR_DEN;C1526726668-NVL(C1526739741,0);NUMBER;12;1;L.E-RAB.AttEst.QCI.1-L.E-RAB.FailEst.X2AP.VoIP;6;%;SUM;SUM
CELLSTS_4G;PS_RAB_EST_SR_NUM;C1526726671+C1526726673+C1526726675+C1526726677+C1526726679+C1526726681+C1526726683+C1526726685;NUMBER;12;1;L.E-RAB.SuccEst.QCI.2+L.E-RAB.SuccEst.QCI.3+L.E-RAB.SuccEst.QCI.4+L.E-RAB.SuccEst.QCI.5+L.E-RAB.SuccEst.QCI.6+L.E-RAB.SuccEst.QCI.7+L.E-RAB.SuccEst.QCI.8+L.E-RAB.SuccEst.QCI.9;6;%;SUM;SUM
CELLSTS_4G;PS_RAB_EST_SR_DEN;C1526726670+C1526726672+C1526726674+C1526726676+C1526726678+C1526726680+C1526726682+C1526726684;NUMBER;12;1;L.E-RAB.AttEst.QCI.2+L.E-RAB.AttEst.QCI.3+L.E-RAB.AttEst.QCI.4+L.E-RAB.AttEst.QCI.5+L.E-RAB.AttEst.QCI.6+L.E-RAB.AttEst.QCI.7+L.E-RAB.AttEst.QCI.8+L.E-RAB.AttEst.QCI.9;6;%;SUM;SUM
CELLSTS_4G;DL_PCKT_LOSS_R_NUM;C1526727908+C1526727911+C1526727914+C1526727917+C1526727920+C1526727923+C1526727926+C1526727929+C1526727932;NUMBER;12;1;L.Traffic.DL.PktDelay.Num.QCI.1+L.Traffic.DL.PktDelay.Num.QCI.2+L.Traffic.DL.PktDelay.Num.QCI.3+L.Traffic.DL.PktDelay.Num.QCI.4+L.Traffic.DL.PktDelay.Num.QCI.5+L.Traffic.DL.PktDelay.Num.QCI.6+L.Traffic.DL.PktDelay.Num.QCI.7+L.Traffic.DL.PktDelay.Num.QCI.8+L.Traffic.DL.PktDelay.Num.QCI.9;6;%;SUM;SUM
CELLSTS_4G;SERV_RET_DEN;C1526728234+ C1526728235 + C1526728236 + C1526728237 + C1526728238 +C1526728239 + C1526728240 + C1526728241 + C1526728242;NUMBER;12;1;L.E-RAB.SessionTime.QCI1 + L.E-RAB.SessionTime.QCI2 + L.E-RAB.SessionTime.QCI3 + L.E-RAB.SessionTime.QCI4 + L.E-RAB.SessionTime.QCI5 + L.E-RAB.SessionTime.QCI6 + L.E-RAB.SessionTime.QCI7 + L.E-RAB.SessionTime.QCI8 + L.E-RAB.SessionTime.QCI9;6;%;SUM;SUM
CELLSTS_4G;INTRA_FRQ_HO_SR_NUM;C1526726997 + C1526727003;NUMBER;12;1;L.HHO.IntraeNB.IntraFreq.ExecSuccOut + L.HHO.IntereNB.IntraFreq.ExecSuccOut;6;%;SUM;SUM
CELLSTS_4G;INTRA_FRQ_HO_SR_DEN;C1526726996 + C1526727002;NUMBER;12;1;L.HHO.IntraeNB.IntraFreq.ExecAttOut + L.HHO.IntereNB.IntraFreq.ExecAttOut;6;%;SUM;SUM
CELLSTS_4G;LE_RAB_ATTEST_QCI6;C1526726678;NUMBER;12;1;L.E-RAB.AttEst.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;LE_RAB_SUCCEST_QCI6;C1526726679;NUMBER;12;1;L.E-RAB.SuccEst.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;LE_RAB_ABNORMREL_QCI6;C1526726696;NUMBER;12;1;L.E-RAB.AbnormRel.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;LE_RAB_NORMREL_QCI6;C1526726697;NUMBER;12;1;L.E-RAB.NormRel.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_BITS_UL_QCI6;C1526726791;NUMBER;12;1;L.Thrp.bits.UL.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_TIME_UL_QCI6;C1526726792;NUMBER;12;1;L.Thrp.Time.UL.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_BITS_DL_QCI6;C1526726818;NUMBER;12;1;L.Thrp.bits.DL.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;L_THRP_DL_LASTTTI_QCI6;C1526729011;NUMBER;12;1;L.Thrp.bits.DL.LastTTI.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;THRP_TIME_DL_RMVLAST_TTI_QCI6;C1526729021;NUMBER;12;1;L.Thrp.Time.DL.RmvLastTTI.QCI.6;6;NULL;SUM;SUM
CELLSTS_4G;LERAB_ATTEST_EXTQCI_INDEX5;C1526749358;NUMBER;12;1;L.E-RAB.AttEst.ExtQCI.Index5;6;NULL;SUM;SUM
CELLSTS_4G;L_CSFB_DEN;C1526728323+C1526728324;NUMBER;12;1;L.CSFB.E2W+L.CSFB.E2G;6;NULL;SUM;SUM
CELLSTS_4G;CSFB_FAIL_NUMBER;C1526728321+C1526728409-C1526728498-C1526728497-C1526728509-C1526728506;NUMBER;12;1;L.CSFB.PrepAtt+L.CSFB.LCS.PrepAtt-L.RRCRedirection.E2G.CSFB-L.RRCRedirection.E2W.CSFB-L.IRATHO.E2G.CSFB.ExecSuccOut-L.IRATHO.E2W.CSFB.ExecSuccOut;6;NULL;SUM;SUM
CELLSTS_4G;LE_RAB_ABNORMREL_MME_QCI_3;C1526730865;NUMBER;12;1;L.E-RAB.AbnormRel.MME.QCI.3;6;NULL;SUM;SUM
CELLSTS_4G;LE_RAB_NORMREL_IRATHOOUT_QCI_3;C1526741745;NUMBER;12;1;L.E-RAB.NormRel.IRatHOOut.QCI.3;6;NULL;SUM;SUM
CELLSTS_4G;L_TRAF_UL_PKTLOSS_LOSS_QCI_3;C1526727967;NUMBER;12;1;NULL;6;NULL;SUM;SUM
CELLSTS_4G;HOUR;1;NUMBER;12;1;NULL;6;NULL;MAX;SUM
CELLSTS_4G;NE_CNT;1;NUMBER;12;1;NULL;6;NULL;MAX;SUM
CELLSTS_4G;DATA_DCR_DEN;C1526726696+C1526726698+C1526726700+C1526726702+C1526726697+C1526726699+C1526726701+C1526726703;NUMBER;12;1;L.E-RAB.AbnormRel.QCI.6+L.E-RAB.AbnormRel.QCI.7+L.E-RAB.AbnormRel.QCI.8+ L.E-RAB.AbnormRel.QCI.9 + L.E-RAB.NormRel.QCI.6+ L.E-RAB.NormRel.QCI.7+ L.E-RAB.NormRel.QCI.8+ L.E-RAB.NormRel.QCI.9;6;%;SUM;SUM
CELLSTS_4G;DATA_DCR_NUM;C1526726696+C1526726698+C1526726700+C1526726702;NUMBER;12;1;L.E-RAB.AbnormRel.QCI.6+ E-RAB.AbnormRel.QCI.7+ L.E-RAB.AbnormRel.QCI.8+ L.E-RAB.AbnormRel.QCI.9;6;%;SUM;SUM
CELLSTS_4G;RAB_FAIL_EST_UL_SATIS_VOIP;C1526729969;NUMBER;NULL;1;RAB.FailEst.NoRadioRes.ULSatis.VoIP;6;%;SUM;SUM
